id,source_id,property_id,first_american_listing_id,first_american_property_id,listing_series_id,listing_id,address_id,apn,fips,type,sub_type,lot_square_feet,square_feet,building_style,heating_type,cooling_type,stories,year_built,roof_type,exterior_wall_type,bedrooms,bathrooms,parking_spaces,garage_type,view_features,price_per_square_foot,air_conditioning_type,interior_features,exterior_features,existing_structure_type,details,lot_features,zoning,neighborhood,school_district,elementary_school,middle_school,high_school,appliance_features,lot_acres,water_type,listing_date,days_on_market,original_listing_date,original_status,status,sub_status,rental,amount,max_amount,max_amount_date,min_amount,min_amount_date,sale_amount,sale_date,adjusted_sale_amount,adjusted_sale_amount_range,last_amount_change,last_amount_change_date,prior_amount_change,prior_amount_change_date,last_status_change,last_status_change_date,last_sub_status_change,last_sub_status_change_date,prior_status_change,prior_status_change_date,prior_sub_status_change,prior_sub_status_change_date,agent_name,agent_address,agent_phone,agent_email,office_name,office_address,office_phone,office_email,update_timestamp,ucid,batch_job_file_id,line_number,batch_file_date,current_listing,current_rental,effective_update_date,effective_end_date,effective_listing_date
121045003,4334100123,1725075352,201404042014042500112221780000000002,23026388,11222178,,1169577703,02323-29-025-000,08031,SFR,,6150.0,702.0,,,,1,1950.0,,CONCRETE BLOCK,2.0,1.0,,,,195.0,,,,,"1570 King St This SingleFamily Home located at 1570 King Street, Denver CO sold on Apr 4, 2014. 1570 King St has 2 beds, 1 bath, and approximately 702 square feet. The property has a lot size of 6,150 sqft and was built in 1950. The average listing price for similar homes for sale is $275,272 and the average sales price for similar recently sold homes is $300,612. 1570 King St is in the West Colfax neighborhood in Denver, CO. The average price per square foot for homes for sale in West Colfax is $262.",,,CHELTENHAM HEIGHTS,,,,,,,,1900-01-01,,,SOLD,SOLD,,,,,2014-04-18,,2014-04-18,137000.0,2014-04-04,138000.0,136800-137200,,,,,,,,,,,,,,,,,,,,,2016-05-22,C,684567.0,5145631.0,2017-02-02,,,2014-04-04,2014-04-04,2016-05-22
183159105,6144572144,1725075352,201806082018060900498124400000000001,23026388,49812440,5241311,1097827539,02323-29-025-000,08031,HOUSE,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2018-06-08,3.0,2018-06-08,ACTIVE,ACTIVE,,,475000.0,475000.0,2018-06-09,475000.0,2018-06-09,,,,,,,,,,,,,,,,,SCOTT FRANKS,,,,SIGNATURE REALTY,11941 W 48TH AVE WHEAT RIDGE CO 80033-2118,,,2018-06-09,A,997199.0,21323.0,2018-06-12,1.0,,2018-06-12,,2018-06-08
186913341,6195402758,1725075352,201806262018060900498124400000000002,23026388,49812440,5241311,1097827539,02323-29-025-000,08031,HOUSE,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2018-06-08,18.0,2018-06-08,ACTIVE,SOLD,,,475000.0,475000.0,2018-06-09,475000.0,2018-06-09,482500.0,2018-06-26,483000.0,482300-482700,,,,,ACTIVE,2018-06-09,,,,,,,SCOTT FRANKS,,,,SIGNATURE REALTY,11941 W 48TH AVE WHEAT RIDGE CO 80033-2118,,,2018-07-12,A,1016094.0,25687.0,2018-07-13,1.0,,2018-06-26,2018-06-26,2018-06-08
127804540,4340914949,1725093997,201507252015122800194970820000000007,23045010,19497082,4944168,1169577712,02323-30-021-000,08031,SFR,RESIDENTIAL (NEC),7405.0,1025.0,RANCH,FORCED AIR,,,1952.0,COMPOSITION SHINGLE,,2.0,2.0,,,,668.0,NONE,,,,"Amazing development opportunity on a corner lot that is within walking distance of Sloans Lake and light rail!  The lot is a 7,600 sqft lot (57 ft front by 135 ft sides) zoned G-MU-3 and priced for the land value.  Development opportunities in this area are going fast so don't miss out!  Contact broker with any questions and offers, please do not disturb the homeowner.   Owner will need to find replacement housing after a sale so a lease back option will make offer stronger. Information is reliable but not guaranteed.",,G-MU-3,SLOANS LAKE,,CHELTENHAM,LAKE INT'L,NORTH,,,,2015-07-25,156.0,2015-07-25,FAIL,FAIL,CANCEL/WITHDRAWN,,685000.0,685000.0,2015-07-27,685000.0,2015-07-27,,,,,,,,,ACTIVE,2015-11-20,,,FAIL,2015-11-19,CANCEL/WITHDRAWN,2015-11-19,RAMON C. BARGAS,3480 W 38TH AVE DENVER CO 80211 US,(720) 234-5134,RAMON@RAZRGOUP.COM,LUCERO REAL ESTATE,3480 W 38TH AVE DENVER CO 80211 US,(303) 458-0100,LUCEROTEAM@LUCEROREALESTATE.COM,2016-05-26,C,684567.0,5115945.0,2017-02-02,,,2015-11-20,2015-11-20,2015-07-25
268990894,8055905538,1725093997,201908272019090600773973260000000003,23045010,77397326,8144500,1097828609,02323-30-021-000,08031,VACANT LAND (NEC),,7405.0,,,"FORCED AIR, GAS",,,1952.0,COMPOSITION SHINGLES,"BLOCK, BRICK, OTHER CONSTRUCTION, STUCCO",,,1.0,"CARPORT (0), GARAGE (0), UNCOVERED (0)",,,NONE,,FRAME,,,,G-MU-3,,DENVER 1,CHELTENHAM,STRIVE LAKE,NORTH,,LOT SIZE:,PUBLIC,2019-08-27,10.0,2019-08-27,ACTIVE,ACTIVE,,,875000.0,875000.0,2019-08-28,875000.0,2019-08-28,,,,,,,,,,,,,,,,,AMIE JACOBS,,,,ALLURE HOMES LLC,565 CLAYTON ST DENVER CO 80206-4232,,,2019-09-06,A,1361122.0,64072.0,2019-09-09,1.0,,2019-09-09,,2019-08-27
267311311,8018321425,1725093997,201908272019082900773973260000000002,23045010,77397326,8144500,1097828609,02323-30-021-000,08031,VACANT LAND (NEC),,7405.0,,,"FORCED AIR, GAS",,,1952.0,COMPOSITION SHINGLES,"BLOCK, BRICK, OTHER CONSTRUCTION, STUCCO",,,1.0,"CARPORT (0), GARAGE (0), UNCOVERED (0)",,,NONE,,FRAME,,,,G-MU-3,,DENVER 1,CHELTENHAM,STRIVE LAKE,NORTH,,LOT SIZE:,PUBLIC,2019-08-27,2.0,2019-08-27,ACTIVE,ACTIVE,,,875000.0,875000.0,2019-08-28,875000.0,2019-08-28,,,,,,,,,,,,,,,,,AMIE JACOBS,,,,ALLURE HOMES LLC,565 CLAYTON ST DENVER CO 80206-4232,,,2019-08-29,A,1350537.0,38133.0,2019-08-30,1.0,,2019-08-30,,2019-08-27
267012842,8016445501,1725093997,201908272019082800773973260000000001,23045010,77397326,8144500,1097828609,02323-30-021-000,08031,VACANT LAND (NEC),,7405.0,,,"FORCED AIR, GAS",,,1952.0,COMPOSITION SHINGLES,"BLOCK, BRICK, OTHER CONSTRUCTION, STUCCO",,,1.0,"6 PARKING SPACES, OFF STREET",,,NONE,,FRAME,,,,G-MU-3,,DENVER 1,CHELTENHAM,STRIVE LAKE,NORTH,,LOT SIZE:,"PUBLIC WATER SERVICE, WELL",2019-08-27,1.0,2019-08-27,ACTIVE,ACTIVE,,,875000.0,875000.0,2019-08-28,875000.0,2019-08-28,,,,,,,,,,,,,,,,,AMIE JACOBS,,,,STONE REAL ESTATE LLC,565 CLAYTON ST DENVER CO 80206-4232,,,2019-08-28,A,1350244.0,48495.0,2019-08-29,1.0,,2019-08-29,,2019-08-27
127805459,4340915880,1725093997,201604012016062700252345460000000004,23045010,25234546,8584965,1169577712,02323-30-021-000,08031,RESIDENTIAL (NEC),RESIDENTIAL LOT,7405.0,,,,,,,,,,,1.0,,,,,,,,"CORNER lot development opportunity on 7,600 sq ft lot in Sloans Lake area*Zoned G-MU-3 and priced for land and location value*Walking distance to Cheltenham Elementary School and Sloans Lake Park*Easy access to Sports Authority Field.",,G-MU-3,SLOANS LAKE,,,,,,,,2015-12-25,87.0,2016-04-01,FAIL,FAIL,CANCEL/WITHDRAWN,,679000.0,679000.0,2016-04-04,679000.0,2016-04-04,,,,,,,,,ACTIVE,2016-05-11,,,FAIL,2016-04-27,CANCEL/WITHDRAWN,2016-04-27,CRAIG O'ROURKE,,(303) 828-8336,CRAIG@THEADVOCATETEAM.COM,KELLER WILLIAMS REALTY SUCCESS LLC,10026 W. SAN JUAN WAY #200 LITTLETON CO 80127 US,(303) 985-1901,KLRW830@KW.COM,2016-06-27,C,684567.0,5176310.0,2017-02-02,,,2016-05-11,2016-05-11,2015-12-25
143963988,4357579818,1725093997,201703282017041300252345460000000005,23045010,25234546,8584965,1169577712,02323-30-021-000,08031,SFR,,7405.0,1025.0,,,,,1952.0,,"BRICK, STUCCO",2.0,2.0,,1 NO DATA,,580.0,NONE,,,,"RARE CORNER LOT  ONLY 3 BLOCKS FROM SLOANS LAKE  Incredible development opportunity in one of Denver's hottest and vibrant neighborhoods, SLOANS LAKE! Neighboring the communities of Highlands and LoHi in Northwest Denver! Zoned GMU3, this is a rare CORNER lot with unique characteristics  larger 55ft lot width combined with alley access, providing very favorable setbacks.  Walking distance to the new SLOAN'S development, Sports Authority Field, Light Rail and of course Denver's second largest park. Only a 5 minute drive to Downtown Denver's nightlife, world class restaurants and thriving cultural scene. Don't miss your opportunity to be a part of making history in the new face of the Sloan's Lake neighborhood.",,,,DENVER 1,CHELTENHAM,LAKE INT'L,NORTH,,,,2015-12-25,361.0,2016-04-01,SOLD,SOLD,,,679000.0,679000.0,2016-04-04,679000.0,2016-04-04,595000.0,2017-03-28,596000.0,594800-595200,,,,,FAIL,2016-06-27,CANCEL/WITHDRAWN,2016-06-27,ACTIVE,2016-05-11,,,CRAIG O'ROURKE,,(303) 828-8336,CRAIG@THEADVOCATETEAM.COM,KELLER WILLIAMS REALTY SUCCESS LLC,10026 W. SAN JUAN WAY #200 LITTLETON CO 80127 US,(303) 985-1901,KLRW830@KW.COM,2017-04-13,C,684575.0,7731.0,2017-04-14,,,2017-03-28,2017-03-28,2015-12-25
152713880,4736623301,1725093997,201703282017071800252345460000000006,23045010,25234546,8584965,1097828609,02323-30-021-000,08031,VACANT LAND (NEC),,7600.0,1025.0,,,,,1952.0,,CEMENT CONCRETE,2.0,2.0,1.0,1 SPACE,,580.0,NONE,,,,"LAND LISTING ONLY!CORNER lot development opportunity on 7,600 sq ft lot in Sloans Lake area Zoned GMU3 and priced for land and location value Walking distance to Cheltenham Elementary School and Sloans Lake Park Easy access to Sports Authority Field Call listing agent for further details.",,,,DENVER 1,CHELTENHAM,LAKE INT'L,NORTH,"RANGE, REFRIGERATOR, WASHER",,,2015-12-25,361.0,2016-04-01,ACTIVE,SOLD,,,679000.0,679000.0,2016-04-04,679000.0,2016-04-04,595000.0,2017-03-28,596000.0,594800-595200,,,,,FAIL,2016-06-27,CANCEL/WITHDRAWN,2016-06-27,ACTIVE,2016-05-11,,,CRAIG O'ROURKE,,(303) 828-8336,CRAIG@THEADVOCATETEAM.COM,KELLER WILLIAMS REALTY SUCCESS LLC,10026 W. SAN JUAN WAY #200 LITTLETON CO 80127 US,(303) 985-1901,KLRW830@KW.COM,2017-07-18,C,761069.0,16609.0,2017-07-19,,,2017-03-28,2017-03-28,2015-12-25
